DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property,Rate_Diff
285,Stoughton,2025,12.38,0.0,20.54,20.54,20.54,8.159999999999998
286,Stow,2025,17.42,0.0,17.42,17.42,17.42,0.0
287,Sturbridge,2025,15.93,15.93,15.93,15.93,15.93,0.0
288,Sudbury,2025,14.64,0.0,21.04,21.04,21.04,6.399999999999999
289,Sunderland,2025,13.02,0.0,13.02,13.02,13.02,0.0
290,Sutton,2025,12.02,0.0,12.02,12.02,12.02,0.0
291,Swampscott,2025,11.47,0.0,21.17,21.17,21.17,9.700000000000001
292,Swansea,2025,10.98,0.0,17.37,17.37,17.37,6.390000000000001
293,Taunton,2025,10.94,0.0,23.78,23.78,23.78,12.840000000000002
294,Templeton,2025,12.12,0.0,12.12,12.12,12.12,0.0
295,Tewksbury,2025,13.22,0.0,24.97,24.97,24.97,11.749999999999998
296,Tisbury,2025,7.57,0.0,7.31,7.31,7.31,-0.2600000000000007
297,Tolland,2025,7.47,0.0,7.47,7.47,7.47,0.0
298,Topsfield,2025,14.99,0.0,14.99,14.99,14.99,0.0
299,Townsend,2025,14.52,0.0,14.52,14.52,14.52,0.0
300,Truro,2025,6.18,0.0,5.73,5.73,5.73,-0.4499999999999993
301,Tyngsborough,2025,12.34,0.0,12.34,12.34,12.34,0.0
302,Tyringham,2025,6.12,0.0,6.12,6.12,6.12,0.0
303,Upton,2025,13.15,0.0,13.15,13.15,13.15,0.0
304,Uxbridge,2025,13.11,0.0,13.98,13.98,13.98,0.870000000000001
305,Wakefield,2025,11.35,0.0,21.76,21.76,21.76,10.410000000000002
306,Wales,2025,14.42,0.0,14.42,14.42,14.42,0.0
307,Walpole,2025,12.83,0.0,17.34,17.34,17.34,4.51
308,Waltham,2025,9.82,0.0,21.04,21.04,21.04,11.219999999999999
309,Ware,2025,15.06,0.0,15.06,15.06,15.06,0.0
310,Wareham,2025,8.55,0.0,8.55,8.55,8.55,0.0
311,Warren,2025,14.81,0.0,14.81,14.81,14.81,0.0
312,Warwick,2025,17.78,0.0,17.78,17.78,17.78,0.0
313,Washington,2025,14.16,0.0,14.16,14.16,14.16,0.0
314,Watertown,2025,11.68,0.0,22.83,22.83,22.83,11.149999999999999
315,Wayland,2025,15.63,0.0,15.63,15.63,15.63,0.0
316,Webster,2025,11.88,0.0,11.88,11.88,11.88,0.0
317,Wellesley,2025,10.28,0.0,10.28,10.28,10.28,0.0
318,Wellfleet,2025,7.11,0.0,6.63,6.63,6.63,-0.4800000000000004
319,Wendell,2025,20.95,0.0,20.95,20.95,20.95,0.0
320,Wenham,2025,15.54,0.0,15.54,15.54,15.54,0.0
321,West Boylston,2025,13.87,0.0,13.87,13.87,13.87,0.0
322,West Bridgewater,2025,13.67,0.0,24.55,24.55,24.55,10.88
323,West Brookfield,2025,10.78,0.0,10.78,10.78,10.78,0.0
324,West Newbury,2025,10.8,0.0,10.8,10.8,10.8,0.0
325,West Springfield,2025,14.87,0.0,30.28,30.28,30.28,15.410000000000002
326,West Stockbridge,2025,9.62,0.0,9.62,9.62,9.62,0.0
327,West Tisbury,2025,4.53,0.0,4.47,4.47,4.47,-0.0600000000000005
328,Westborough,2025,16.29,0.0,16.29,16.29,16.29,0.0
329,Westfield,2025,15.18,0.0,29.17,29.17,29.17,13.990000000000002
330,Westford,2025,13.47,0.0,13.47,13.47,13.47,0.0
331,Westhampton,2025,20.79,0.0,20.79,20.79,20.79,0.0
332,Westminster,2025,12.3,0.0,12.3,12.3,12.3,0.0
333,Weston,2025,11.1,0.0,11.1,11.1,11.1,0.0
334,Westport,2025,7.45,0.0,7.45,7.45,7.45,0.0
335,Westwood,2025,12.8,0.0,24.26,24.26,24.26,11.46
336,Weymouth,2025,10.1,0.0,15.97,15.97,15.97,5.870000000000001
337,Whately,2025,13.34,13.34,13.34,13.34,13.34,0.0
338,Whitman,2025,13.12,0.0,13.12,13.12,13.12,0.0
339,Wilbraham,2025,17.88,0.0,17.88,17.88,17.88,0.0
340,Williamsburg,2025,18.97,0.0,18.97,18.97,18.97,0.0
341,Williamstown,2025,13.8,0.0,13.8,13.8,13.8,0.0
342,Wilmington,2025,11.45,0.0,26.77,26.77,26.77,15.32
343,Winchendon,2025,11.75,0.0,11.75,11.75,11.75,0.0
344,Winchester,2025,11.09,0.0,10.6,10.6,10.6,-0.4900000000000002
345,Windsor,2025,11.34,0.0,11.34,11.34,11.34,0.0
346,Winthrop,2025,10.32,10.32,10.32,10.32,10.32,0.0
347,Woburn,2025,8.54,0.0,20.41,20.41,20.41,11.870000000000001
348,Worcester,2025,13.19,0.0,28.61,28.61,28.61,15.42
349,Worthington,2025,13.79,0.0,13.79,13.79,13.79,0.0
350,Wrentham,2025,11.59,0.0,17.52,17.52,17.49,5.93
351,Yarmouth,2025,7.08,0.0,7.08,7.08,7.08,0.0
840,Devens,2025,12.55,0.0,17.27,17.27,0.0,4.719999999999999
